scope,layer,property,value,units,notes,source_reference
blue_whale,muscle,specific_heat_J_kgK,3600,J/(kg-K),"Skeletal muscle. Slightly lower metabolic heat - large rorqual FMRs are less than half predicted from smaller mammals (Blawas et al. 2025, Science Advances).","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,muscle,perfusion_rate_kg_m3s,0.5,kg/(m3-s),"Skeletal muscle. Slightly lower metabolic heat - large rorqual FMRs are less than half predicted from smaller mammals (Blawas et al. 2025, Science Advances).","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,muscle,metabolic_heat_W_m3,650,W/m3,"Skeletal muscle. Slightly lower metabolic heat - large rorqual FMRs are less than half predicted from smaller mammals (Blawas et al. 2025, Science Advances).","Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,thermal_conductivity_W_mK,0.56,W/(m-K),Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,density_kg_m3,1030,kg/m3,Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,specific_heat_J_kgK,4000,J/(kg-K),Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,perfusion_rate_kg_m3s,0.8,kg/(m3-s),Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,metabolic_heat_W_m3,2800,W/m3,Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
blue_whale,core,blood_temp_C,36.7,C,Core organs. Blue whale core temperature 36.7C within baleen whale range of 36.6-37.2C (SeaWorld; Kanwisher & Sundnes 1966). Lower metabolic heat reflects reduced thermoregulatory costs at large body size.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128. DOI: 10.1016/0306-4565(95)00034-8; Blawas AM et al. (2025). Life in the slowest lane: Feeding allometry lowers metabolic rate scaling in the largest whales. Science Advances. DOI: 10.1126/sciadv.adw2232; Lavigne DM, Innes S, Worthy GAJ (1990). Lower critical temperatures of blue whales. J Theor Biol 144:249-257.; Parry DA (1949). The structure of whale blubber (blue and fin whales). Q J Microsc Sci 90:13-25.; Kanwisher J, Sundnes G (1966). Thermal regulation in Cetacea. In: Whales, dolphins, and porpoises. UC Press, pp 397-407.; See docs/blue_whale_references.md for full citation list."
bowhead,blubber,thermal_conductivity_W_mK,0.23,W/(m-K),Bowhead blubber conductivity reported ~0.23 W/m-K (North Slope Borough). Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/bowhead_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,blubber,density_kg_m3,940,kg/m3,Bowhead blubber conductivity reported ~0.23 W/m-K (North Slope Borough). Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/bowhead_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,blubber,specific_heat_J_kgK,2350,J/(kg-K),Bowhead blubber conductivity reported ~0.23 W/m-K (North Slope Borough). Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/bowhead_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,blubber,perfusion_rate_kg_m3s,0.23,kg/(m3-s),Bowhead blubber conductivity reported ~0.23 W/m-K (North Slope Borough). Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/bowhead_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,blubber,metabolic_heat_W_m3,0,W/m3,Bowhead blubber conductivity reported ~0.23 W/m-K (North Slope Borough). Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/bowhead_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,thermal_conductivity_W_mK,0.51,W/(m-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,density_kg_m3,1050,kg/m3,Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,specific_heat_J_kgK,3600,J/(kg-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
